date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:26:48	45/45	---MCZ	200	added ('OK')	text/plain	date:Mon,%2028%20Mar%202022%2017:57:25%20GMT	https://laotramirada.com/robots.txt		(from )
16:26:48	588122/588122	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Mar%202022%2020:26:46%20GMT	https://laotramirada.com/	C:/My%20Web%20Sites/laotramirandaBackup/laotramirada.com/index.html	(from )
16:26:49	6364/6364	---M--	200	added ('OK')	image/png	etag:W/%2218dc-1761f90b748%22	https://laotramirada.com/favicon.png	C:/My%20Web%20Sites/laotramirandaBackup/laotramirada.com/favicon.png	(from https://laotramirada.com/)
16:26:49	69917/69917	---M-Z	200	added ('OK')	application/javascript	etag:W/%22620cd6ff-1111d%22	https://code.jquery.com/jquery-3.3.1.slim.min.js	C:/My%20Web%20Sites/laotramirandaBackup/code.jquery.com/jquery-3.3.1.slim.min.js	(from https://laotramirada.com/)
16:26:50	6092/6092	---MCZ	200	added ('OK')	application/javascript	etag:W/%2217cc-177bbd709e0%22	https://laotramirada.com/_nuxt/runtime.48aa125.js	C:/My%20Web%20Sites/laotramirandaBackup/laotramirada.com/_nuxt/runtime.48aa125.js	(from https://laotramirada.com/)
16:26:50	196596/196596	---MCZ	200	added ('OK')	application/javascript	etag:W/%222fff4-177bbd709e0%22	https://laotramirada.com/_nuxt/vendors/commons.21a32d2.js	C:/My%20Web%20Sites/laotramirandaBackup/laotramirada.com/_nuxt/vendors/commons.21a32d2.js	(from https://laotramirada.com/)
16:26:50	21724/21724	---MCZ	200	added ('OK')	application/javascript	etag:W/%2254dc-177bbd709dc%22	https://laotramirada.com/_nuxt/pages/index.396ba6c.js	C:/My%20Web%20Sites/laotramirandaBackup/laotramirada.com/_nuxt/pages/index.396ba6c.js	(from https://laotramirada.com/)
16:26:50	3471172/3471172	---MCZ	200	added ('OK')	application/javascript	etag:W/%2234f744-177bbd709d0%22	https://laotramirada.com/_nuxt/app.8958c2a.js	C:/My%20Web%20Sites/laotramirandaBackup/laotramirada.com/_nuxt/app.8958c2a.js	(from https://laotramirada.com/)
16:26:51	20703/20703	---MCZ	200	added ('OK')	application/javascript	etag:W/%2250df-177bbd709d0%22	https://laotramirada.com/_nuxt/commons/01fa4752.954bafb.js	C:/My%20Web%20Sites/laotramirandaBackup/laotramirada.com/_nuxt/commons/01fa4752.954bafb.js	(from https://laotramirada.com/)
16:26:51	23956/23956	---MCZ	200	added ('OK')	font/otf	etag:W/%225d94-177bbd709bc%22	https://laotramirada.com/_nuxt/fonts/ProximaNovaAlt-Bold.8dcb6c9.otf	C:/My%20Web%20Sites/laotramirandaBackup/laotramirada.com/_nuxt/fonts/ProximaNovaAlt-Bold.8dcb6c9.otf	(from https://laotramirada.com/)
